root_rustsec_id,root_cve_id,root_target_crate,hop,upstream_crate,upstream_fix_version,upstream_fix_time,downstream_crate,downstream_version,downstream_time,lag_days,dep_req,repo_url,pr_url,pr_merged_at,align_method,align_sha,status
RUSTSEC-2016-0001,CVE-2016-10931,openssl,1,openssl,0.9.0,2016-11-06 03:11:39.197825 UTC,iron-hmac,0.6.0,2018-10-22 23:16:40.552078 UTC,715,^0.9,https://github.com/jwilm/iron-hmac,https://github.com/jwilm/iron-hmac/pull/11,2018-10-22T23:15:44Z,search_window,,found
RUSTSEC-2016-0001,CVE-2016-10931,openssl,1,openssl,0.9.0,2016-11-06 03:11:39.197825 UTC,kafka,0.6.0,2017-04-28 15:51:03.184170 UTC,173,^0.9,https://github.com/kafka-rust/kafka-rust,https://github.com/kafka-rust/kafka-rust/pull/143,2017-02-10T16:03:42Z,search_window,38e046cf56877510e2a944e1a6cc36859b664ff5,found
RUSTSEC-2016-0001,CVE-2016-10931,openssl,1,openssl,0.9.0,2016-11-06 03:11:39.197825 UTC,kitchensink,0.4.0,2017-03-13 21:37:06.146898 UTC,127,^0.9,https://github.com/puppetlabs/rust-kitchensink,,,,,not_found
RUSTSEC-2016-0001,CVE-2016-10931,openssl,1,openssl,0.9.0,2016-11-06 03:11:39.197825 UTC,lettre,0.6.2,2017-02-18 17:37:19.168814 UTC,104,^0.9,https://github.com/lettre/lettre,https://github.com/lettre/lettre/pull/112,2017-01-01T12:08:27Z,search_window,364e40f5d96feeb3d48783fe13aa40ae827bbf30,found
RUSTSEC-2016-0001,CVE-2016-10931,openssl,1,openssl,0.9.0,2016-11-06 03:11:39.197825 UTC,mysql,9.0.0,2017-01-25 18:06:34.423729 UTC,80,~0.9,https://github.com/blackbeam/rust-mysql-simple,,,tag_exact_no_pr,a47692920e060aca4ff988da274d7940609efff1,commit_found_no_pr
RUSTSEC-2016-0001,CVE-2016-10931,openssl,1,openssl,0.9.0,2016-11-06 03:11:39.197825 UTC,net-utils,0.0.3,2017-04-03 03:29:38.558331 UTC,148,^0.9.10,https://github.com/rohitjoshi/net-utils,,,,,not_found
RUSTSEC-2016-0001,CVE-2016-10931,openssl,1,openssl,0.9.0,2016-11-06 03:11:39.197825 UTC,pop3,1.0.6,2017-03-02 23:51:59.473565 UTC,116,^0.9,https://github.com/mattnenterprise/rust-pop3,https://github.com/mattnenterprise/rust-pop3/pull/5,2017-03-02T23:49:36Z,search_window,9d536f43a399f3d7100a3eed1aa19e9d226464dd,found
RUSTSEC-2016-0001,CVE-2016-10931,openssl,1,openssl,0.9.0,2016-11-06 03:11:39.197825 UTC,portier_broker,0.2.0,2018-01-05 19:28:06.999591 UTC,425,^0.9.22,https://github.com/portier/portier-broker,https://github.com/portier/portier-broker/pull/151,2018-01-05T14:20:26Z,tag_exact_pr,c56fa5950660e49253bd6c23adeaf9d04d56ff82,found
RUSTSEC-2016-0001,CVE-2016-10931,openssl,1,openssl,0.9.0,2016-11-06 03:11:39.197825 UTC,postgres,0.13.0,2016-11-06 05:29:03.788631 UTC,0,^0.9,https://github.com/rust-postgres/rust-postgres,,,tag_exact_no_pr,69477cd11436a917c38b4f304d209f941d884ceb,commit_found_no_pr
RUSTSEC-2016-0001,CVE-2016-10931,openssl,1,openssl,0.9.0,2016-11-06 03:11:39.197825 UTC,rs-docker,0.0.45,2019-01-27 08:37:01.900756 UTC,812,^0.10.16,https://gitlab.com/kblobr/rust-docker.git,,,,,skipped_no_repo
