root_rustsec_id,root_cve_id,root_target_crate,hop,upstream_crate,upstream_fix_version,upstream_fix_time,downstream_crate,downstream_version,downstream_time,lag_days,dep_req
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,postgres,0.13.0,2016-11-06 05:29:03.788631 UTC,rustorm,0.10.0,2018-03-06 17:35:25.304724 UTC,485,^0.15.1
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,postgres,0.13.0,2016-11-06 05:29:03.788631 UTC,postgres-binary-copy,0.4.0,2017-05-06 20:19:14.209643 UTC,181,^0.14
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,postgres,0.13.0,2016-11-06 05:29:03.788631 UTC,postgis,0.3.0,2016-12-05 09:48:38.825044 UTC,29,^0.13
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,postgres,0.13.0,2016-11-06 05:29:03.788631 UTC,postgres_large_object,0.6.0,2017-05-08 01:59:49.832079 UTC,182,^0.14
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,postgres,0.13.0,2016-11-06 05:29:03.788631 UTC,schemamama_postgres,0.2.0,2017-01-12 02:55:11.019924 UTC,66,^0.13
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,sgxs,0.6.0-rc1,2018-11-19 10:04:03.544541 UTC,sgxs-tools,0.6.0-rc1,2018-11-19 10:19:12.475447 UTC,0,^0.6.0-rc1
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,tiny_http,0.6.0,2018-03-28 08:00:57.262509 UTC,rouille,2.2.0,2018-09-01 12:27:09.003094 UTC,157,^0.6.0
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,tiny_http,0.6.0,2018-03-28 08:00:57.262509 UTC,fisher,1.0.0,2019-07-22 09:38:09.321149 UTC,481,^0.6.2
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,tiny_http,0.6.0,2018-03-28 08:00:57.262509 UTC,yubihsm,0.26.0,2019-06-22 05:53:10.492486 UTC,450,^0.6
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,tiny_http,0.6.0,2018-03-28 08:00:57.262509 UTC,cernan,0.9.0,2018-06-13 18:50:24.209359 UTC,77,^0.6
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,tiny_http,0.6.0,2018-03-28 08:00:57.262509 UTC,multipart,0.15.0,2018-07-08 20:21:25.774400 UTC,102,^0.6
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,tiny_http,0.6.0,2018-03-28 08:00:57.262509 UTC,abrute,0.1.10,2023-06-05 03:03:31.135767 UTC,1894,~0.8
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,trust-dns,0.9.3,2016-12-31 20:45:40.772080 UTC,trust-dns-server,0.10.0,2017-03-10 06:44:01.685922 UTC,68,^0.10
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,websocket,0.19.0,2017-04-05 18:03:43.548149 UTC,serenity,0.3.0,2017-06-24 16:49:33.637371 UTC,79,~0.20
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,websocket,0.19.0,2017-04-05 18:03:43.548149 UTC,touchpage,0.2.0,2019-10-11 17:22:34.732832 UTC,918,^0.23.0
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,websocket,0.19.0,2017-04-05 18:03:43.548149 UTC,websocat,1.0.0-alpha,2018-05-10 17:18:06.645129 UTC,399,^0.20.2
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,websocket,0.19.0,2017-04-05 18:03:43.548149 UTC,aurelius,0.1.15,2017-04-10 15:06:01.009725 UTC,4,^0.19
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,websocket,0.19.0,2017-04-05 18:03:43.548149 UTC,mould,0.0.20,2017-04-13 06:51:30.228405 UTC,7,^0.19.1
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,ws,0.7.0,2017-03-30 23:15:27.125574 UTC,mdbook,0.0.22,2017-05-19 17:40:34.706126 UTC,49,^0.7
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,ws,0.7.0,2017-03-30 23:15:27.125574 UTC,gutenberg,0.0.3,2017-04-05 13:23:58.325145 UTC,5,^0.7
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,ws,0.7.0,2017-03-30 23:15:27.125574 UTC,maidsafe_utilities,0.11.2,2017-04-06 10:35:21.613881 UTC,6,~0.7.0
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,yup-oauth2,1.0.2,2017-01-31 18:04:58.500726 UTC,google-deploymentmanager2_beta2,2.0.0+20160201,2021-04-02 00:08:42.757415 UTC,1521,^5.0
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,yup-oauth2,1.0.2,2017-01-31 18:04:58.500726 UTC,google-calendar3-cli,2.0.0+20210327,2021-04-02 12:56:56.442180 UTC,1521,^5.0
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,yup-oauth2,1.0.2,2017-01-31 18:04:58.500726 UTC,google-appsactivity1,2.0.0+20200628,2021-04-01 15:55:23.627330 UTC,1520,^5.0
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,yup-oauth2,1.0.2,2017-01-31 18:04:58.500726 UTC,google-gan1_beta1-cli,2.0.0+20130205,2021-04-02 13:22:15.160327 UTC,1521,^5.0
