rustsec_id,cve_id,severity,target_crate,fix_time,downstream_crates_with_history,affected_edges,locked_out_edges,break_rate_percent,affected_req_exact_pin,affected_req_has_upper_bound,affected_req_caret_0x,affected_req_other,unknown_req_unparseable
RUSTSEC-2022-0033,CVE-2022-2274,UNKNOWN,openssl-src,2022-07-05 14:09:08.045110 UTC,2,1,0,0,0,0,0,1,0
RUSTSEC-2022-0035,CVE-2022-35922,UNKNOWN,websocket,2022-07-24 19:04:36.482586 UTC,69,69,52,75,0,0,64,5,0
RUSTSEC-2022-0037,RUSTSEC-2022-0037,HIGH,async-graphql,2022-07-30 12:51:25.183047 UTC,39,39,27,69,0,0,0,39,0
RUSTSEC-2022-0038,CVE-2022-31173,HIGH,juniper,2022-07-28 14:15:32.586977 UTC,58,58,34,58,0,0,58,0,0
RUSTSEC-2022-0041,CVE-2022-23639,INFO,crossbeam-utils,2022-02-05 12:54:05.192066 UTC,228,228,106,46,0,5,221,2,0
RUSTSEC-2022-0043,RUSTSEC-2022-0043,UNKNOWN,tower-http,2022-01-22 10:12:57.528116 UTC,19,18,0,0,0,0,18,0,0
RUSTSEC-2022-0045,RUSTSEC-2022-0045,UNKNOWN,oqs,2022-08-22 10:41:26.739190 UTC,0,0,0,0,0,0,0,0,0
RUSTSEC-2022-0046,RUSTSEC-2022-0046,UNKNOWN,rocksdb,2022-08-05 13:56:36.551020 UTC,99,99,99,100,2,0,95,2,0
RUSTSEC-2022-0047,RUSTSEC-2022-0047,UNKNOWN,oqs,2022-08-22 10:41:26.739190 UTC,0,0,0,0,0,0,0,0,0
RUSTSEC-2022-0049,RUSTSEC-2022-0049,INFO,iana-time-zone,2022-08-16 03:20:46.312810 UTC,4,4,0,0,0,0,4,0,0
RUSTSEC-2022-0051,RUSTSEC-2022-0051,CRITICAL,lz4-sys,2022-08-26 18:08:25.455077 UTC,7,7,0,0,0,0,0,7,0
RUSTSEC-2022-0052,RUSTSEC-2022-0052,INFO,os_socketaddr,2022-08-26 13:57:17.544930 UTC,10,10,3,30,0,0,10,0,0
RUSTSEC-2022-0055,CVE-2022-3212,UNKNOWN,axum-core,2022-09-10 07:58:26.835756 UTC,22,22,4,18,0,0,22,0,0
RUSTSEC-2022-0059,CVE-2022-3358,UNKNOWN,openssl-src,2022-10-11 20:43:59.816521 UTC,2,2,1,50,1,0,0,1,0
RUSTSEC-2022-0062,RUSTSEC-2022-0062,UNKNOWN,matrix-sdk,2022-10-24 10:55:56.146944 UTC,15,0,0,0,0,0,0,0,0
RUSTSEC-2022-0063,CVE-2022-36086,HIGH,linked_list_allocator,2022-09-06 19:09:53.232265 UTC,22,22,17,77,1,0,20,1,0
RUSTSEC-2022-0064,CVE-2022-3602,UNKNOWN,openssl-src,2022-11-01 17:07:45.391237 UTC,2,2,1,50,1,0,0,1,0
RUSTSEC-2022-0065,CVE-2022-3786,UNKNOWN,openssl-src,2022-11-01 17:07:45.391237 UTC,2,2,1,50,1,0,0,1,0
RUSTSEC-2022-0066,CVE-2022-39294,HIGH,conduit-hyper,2022-10-30 20:06:51.319965 UTC,0,0,0,0,0,0,0,0,0
RUSTSEC-2022-0067,RUSTSEC-2022-0067,INFO,lzf,2022-11-06 12:54:24.618085 UTC,7,7,0,0,0,0,7,0,0
RUSTSEC-2022-0068,CVE-2022-46149,UNKNOWN,capnp,2022-11-30 15:03:55.419051 UTC,47,47,22,46,1,0,46,0,0
RUSTSEC-2022-0069,RUSTSEC-2022-0069,UNKNOWN,hyper-staticfile,2022-11-30 15:48:04.347499 UTC,15,15,11,73,0,0,15,0,0
RUSTSEC-2022-0070,RUSTSEC-2022-0070,INFO,secp256k1,2022-12-07 13:38:57.717409 UTC,220,182,117,64,1,0,179,2,0
RUSTSEC-2022-0072,RUSTSEC-2022-0072,UNKNOWN,hyper-staticfile,2022-12-23 09:29:39.531384 UTC,15,15,11,73,0,0,15,0,0
RUSTSEC-2022-0074,RUSTSEC-2022-0074,INFO,prettytable-rs,2022-12-27 10:39:23.283494 UTC,348,348,344,98,0,0,334,14,0
RUSTSEC-2022-0075,CVE-2022-39393,UNKNOWN,wasmtime,2022-11-11 00:07:51.065350 UTC,72,66,56,84,0,0,54,12,0
RUSTSEC-2022-0076,CVE-2022-39392,HIGH,wasmtime,2022-11-11 00:07:51.065350 UTC,72,66,56,84,0,0,54,12,0
RUSTSEC-2022-0078,RUSTSEC-2022-0078,INFO,bumpalo,2022-10-18 21:15:46.723220 UTC,61,61,4,6,0,1,0,60,0
RUSTSEC-2022-0079,RUSTSEC-2022-0079,UNKNOWN,elf_rs,2023-01-16 03:19:36.453953 UTC,2,2,2,100,0,1,1,0,0
RUSTSEC-2022-0082,RUSTSEC-2022-0082,UNKNOWN,warp,2022-09-27 17:26:21.373775 UTC,307,307,94,30,1,4,302,0,0
RUSTSEC-2022-0083,CVE-2022-39354,HIGH,evm,2022-10-25 12:08:48.825203 UTC,28,28,28,100,0,0,28,0,0
RUSTSEC-2022-0084,CVE-2022-23486,HIGH,libp2p,2022-06-09 13:39:06.977649 UTC,38,38,38,100,1,0,37,0,0
RUSTSEC-2022-0085,CVE-2022-39252,HIGH,matrix-sdk-crypto,2022-09-28 15:28:07.936795 UTC,4,4,4,100,0,0,4,0,0
RUSTSEC-2022-0086,CVE-2022-31162,HIGH,slack-morphism,2022-07-16 11:20:26.215147 UTC,2,2,2,100,0,0,2,0,0
RUSTSEC-2022-0087,CVE-2022-39292,UNKNOWN,slack-morphism,2022-10-08 12:58:25.856798 UTC,2,2,2,100,0,0,2,0,0
RUSTSEC-2022-0088,CVE-2022-39215,MEDIUM,tauri,2022-09-15 20:02:21.055614 UTC,17,17,2,11,0,0,2,15,0
RUSTSEC-2022-0089,CVE-2022-39397,MEDIUM,aliyun-oss-client,2022-11-19 04:51:16.339776 UTC,0,0,0,0,0,0,0,0,0
RUSTSEC-2022-0090,CVE-2022-35737,HIGH,libsqlite3-sys,2022-07-22 09:33:29.108951 UTC,41,41,33,80,0,8,26,7,0
RUSTSEC-2022-0091,CVE-2022-41874,LOW,tauri,2022-11-08 14:50:51.955178 UTC,18,16,0,0,0,0,0,16,0
RUSTSEC-2022-0092,RUSTSEC-2022-0092,INFO,rmp-serde,2022-09-27 12:56:14.696713 UTC,319,319,214,67,6,0,197,116,0
RUSTSEC-2022-0094,RUSTSEC-2022-0094,INFO,mimalloc,2023-09-14 11:31:30.772340 UTC,131,131,0,0,0,0,129,2,0
